POSTag_New,Meaning
CC,Coordinating Conjunction
CD,Cardinal Digit
DT,Determiner
EX,"Existential ""There"""
FW,Foreign Word
IN,Preposition/Subordinating Conjunction
JJ,Adjective
JJR,Comparative Adjective
JJS,Superlative Adjective
LS,list market
MD,Modal
NN,Singular Noun
NNS,Plural Noun
NNP,Singular Proper Noun
NNPS,Plural Proper Noun
PDT,Predeterminer
POS,Possessive Ending
PRP,Personal Pronoun
PRP$,Possessive Pronoun
RB,Adverb
RBR,Comparative  Adverb
RBS,Superlative Adverb
RP,Particle
TO,Infinite Marker
UH,Interjection
VB,Verb(ask)
VBG,Verb Gerund
VBD,Verb Past Tense
VBN,Verb Past Participle
VBP,Verb Present Tense not 3rd person singular
VBZ,Verb Present Tense with 3rd person singular
WDT,WH-Determiner
WP,WH-Pronoun 
WRB,WH-Adverb